Index,Time,TVITCH_41::AAPL.ORDER_ID..TVITCH_41__AAPL,TVITCH_41::AAPL.TRADE_ID..TVITCH_41__AAPL,TVITCH_41::AAPL.BUY_SELL_FLAG..TVITCH_41__AAPL,TVITCH_41::AAPL.MESSAGE_TYPE..TVITCH_41__AAPL,TVITCH_41::AAPL.PRINTABLE..TVITCH_41__AAPL,TVITCH_41::AAPL.CROSS_TYPE..TVITCH_41__AAPL,TVITCH_41::AAPL.DELETED_TIME..TVITCH_41__AAPL,TVITCH_41::AAPL.TICK_STATUS..TVITCH_41__AAPL,TVITCH_41::AAPL.TRACK_NUM..TVITCH_41__AAPL,TVITCH_41::AAPL.PRICE..TVITCH_41__AAPL,TVITCH_41::AAPL.SIZE..TVITCH_41__AAPL,TVITCH_41::AAPL.OMDSEQ..TVITCH_41__AAPL
1,2016/12/27 09:30:00.015,0,27389,0,P,N,,,0,2,116.6,48,56
2,2016/12/27 09:30:00.026,0,28185,0,P,N,,,0,2,116.57,125,186
3,2016/12/27 09:30:00.026,0,28186,0,P,N,,,0,4,116.56,100,187
4,2016/12/27 09:30:00.026,0,28187,0,P,N,,,0,6,116.55,100,188
5,2016/12/27 09:30:00.049,0,29712,0,P,N,,,0,2,116.55,100,272
6,2016/12/27 09:30:00.117,0,38044,0,Q,Y,O,,0,1,116.52,288117,5
7,2016/12/27 09:30:00.120,2860489,38079,1,ET,Y,,,0,2,116.53,20,132
8,2016/12/27 09:30:00.120,2877457,38080,1,ET,Y,,,0,4,116.53,80,134
9,2016/12/27 09:30:00.120,2877457,38081,1,ET,Y,,,0,2,116.53,6,178
10,2016/12/27 09:30:00.120,2872881,38082,1,ET,Y,,,0,4,116.54,4,180
11,2016/12/27 09:30:00.120,6695073,38083,1,ET,Y,,,0,6,116.54,90,182
12,2016/12/27 09:30:00.120,6695073,38084,1,ET,Y,,,0,2,116.54,100,190
13,2016/12/27 09:30:00.130,0,38315,0,P,N,,,0,2,116.53,300,306
14,2016/12/27 09:30:00.130,6695073,38316,1,ET,Y,,,0,4,116.54,10,308
15,2016/12/27 09:30:00.169,6695073,42655,1,ET,Y,,,0,2,116.54,10,493
