Index,Time,TVITCH_41::ACRX.ORDER_ID..TVITCH_41__ACRX,TVITCH_41::ACRX.TRADE_ID..TVITCH_41__ACRX,TVITCH_41::ACRX.BUY_SELL_FLAG..TVITCH_41__ACRX,TVITCH_41::ACRX.MESSAGE_TYPE..TVITCH_41__ACRX,TVITCH_41::ACRX.PRINTABLE..TVITCH_41__ACRX,TVITCH_41::ACRX.CROSS_TYPE..TVITCH_41__ACRX,TVITCH_41::ACRX.DELETED_TIME..TVITCH_41__ACRX,TVITCH_41::ACRX.TICK_STATUS..TVITCH_41__ACRX,TVITCH_41::ACRX.TRACK_NUM..TVITCH_41__ACRX,TVITCH_41::ACRX.PRICE..TVITCH_41__ACRX,TVITCH_41::ACRX.SIZE..TVITCH_41__ACRX,TVITCH_41::ACRX.OMDSEQ..TVITCH_41__ACRX
1,30:00.0,0,28606,0,Q,Y,O,,0,1,2.8,2733,496
2,30:01.3,2446033,137383,0,ET,Y,,,0,2,2.75,1000,149
3,33:17.7,9472465,174628,1,ET,Y,,,0,2,2.8,100,4
4,33:17.7,9472473,174629,0,ET,Y,,,0,2,2.8,600,7
5,51:40.6,4352353,425203,1,ET,Y,,,0,2,2.85,6,11
6,51:40.6,4353973,425204,1,ET,Y,,,0,4,2.85,16,13
7,51:40.6,5328649,425205,1,ET,Y,,,0,6,2.85,1500,15
8,51:40.6,9855269,425206,1,ET,Y,,,0,8,2.85,200,17
9,51:40.6,20499365,425207,1,ET,Y,,,0,10,2.85,1500,19
10,51:40.6,21097597,425208,1,ET,Y,,,0,2,2.85,49,3
11,51:40.6,21097597,425209,1,ET,Y,,,0,2,2.85,236,22
12,51:40.6,21097597,425210,1,ET,Y,,,0,2,2.85,1,25
13,51:40.6,21097597,425211,1,ET,Y,,,0,2,2.85,14,7
14,51:40.6,21097601,425212,1,ET,Y,,,0,4,2.85,304,9
15,45:45.4,0,1005956,0,P,N,,,0,2,2.825,100,21
16,53:54.0,0,1077770,0,P,N,,,0,2,2.825,100,1
17,10:28.7,9472541,1237635,0,ET,Y,,,0,2,2.8,100,1
18,15:15.6,0,1278765,0,P,N,,,0,2,2.825,100,0
19,15:15.6,0,1278766,0,P,N,,,0,4,2.825,55,1
20,15:15.6,0,1278767,0,P,N,,,0,6,2.825,200,2
21,15:15.6,0,1278768,0,P,N,,,0,8,2.825,100,3
22,15:15.6,9472569,1278769,0,ET,Y,,,0,10,2.8,300,5
23,15:15.6,17924957,1278770,0,ET,Y,,,0,12,2.8,100,7
24,15:15.6,20003045,1278771,0,ET,Y,,,0,14,2.8,100,9
25,15:15.6,21144657,1278772,0,ET,Y,,,0,16,2.8,400,11
26,15:15.6,28137277,1278773,0,ET,Y,,,0,18,2.8,800,13
27,15:15.6,28137281,1278774,0,ET,Y,,,0,20,2.8,342,15
28,34:56.7,21097601,1444745,1,ET,Y,,,0,2,2.85,100,9
29,36:44.5,21097601,1459383,1,ET,Y,,,0,2,2.85,100,1
30,48:46.1,21097601,1557150,1,ET,Y,,,0,2,2.85,100,1
31,57:28.6,21097601,1625369,1,ET,Y,,,0,2,2.85,100,2
32,15:46.6,0,1760214,0,P,N,,,0,2,2.825,100,2
33,54:00.5,0,2018445,0,P,N,,,0,2,2.825,100,2
34,02:35.1,0,2466933,0,P,N,,,0,2,2.825,200,0
35,19:44.2,0,2607346,0,P,N,,,0,2,2.825,100,0
36,12:20.3,0,3056545,0,P,N,,,0,2,2.825,100,0
37,55:59.6,0,3743484,0,P,N,,,0,2,2.825,100,1
38,56:57.6,0,3774038,0,P,N,,,0,2,2.825,100,59
39,57:50.0,0,3807513,0,P,N,,,0,2,2.825,400,10
40,58:58.4,0,3863681,0,P,N,,,0,2,2.825,100,1
41,59:05.7,0,3872171,0,P,N,,,0,2,2.825,100,33
42,59:59.9,21097601,3957045,1,ET,Y,,,0,2,2.85,796,106
43,59:59.9,21097609,3957046,1,ET,Y,,,0,4,2.85,200,108
44,59:59.9,141963469,3957047,1,ET,Y,,,0,6,2.85,104,110
